"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",NA
"FDW14","OUT017",NA
"NCN55","OUT010",NA
"FDQ58","OUT017",NA
"FDY38","OUT027",NA
"FDH56","OUT046",NA
"FDL48","OUT018",NA
"FDC48","OUT027",NA
"FDN33","OUT045",NA
"FDA36","OUT017",NA
"FDT44","OUT017",NA
"FDQ56","OUT045",NA
"NCC54","OUT019",NA
"FDU11","OUT049",NA
"DRL59","OUT013",NA
"FDM24","OUT049",NA
"FDI57","OUT045",NA
"DRC12","OUT018",NA
"NCM42","OUT027",NA
"FDA46","OUT010",NA
"FDA31","OUT013",NA
"NCJ31","OUT035",NA
"FDG52","OUT046",NA
"NCL19","OUT019",NA
"FDS10","OUT035",NA
"FDX22","OUT010",NA
"NCF19","OUT035",NA
"NCE06","OUT046",NA
"DRC27","OUT046",NA
"FDE21","OUT035",NA
"NCR42","OUT019",NA
"FDX51","OUT018",NA
"NCR06","OUT018",NA
"FDU31","OUT027",NA
"FDU59","OUT017",NA
"FDR03","OUT027",NA
"FDS49","OUT027",NA
"FDD48","OUT010",NA
"NCF18","OUT017",NA
"NCD43","OUT027",NA
"NCD54","OUT018",NA
"FDY19","OUT010",NA
"NCY54","OUT017",NA
"NCL19","OUT018",NA
"FDP23","OUT010",NA
"FDC26","OUT013",NA
"FDR14","OUT010",NA
"NCS41","OUT035",NA
"FDF41","OUT035",NA
"FDU34","OUT046",NA
"DRH11","OUT046",NA
"FDM03","OUT013",NA
"FDS31","OUT017",NA
"FDJ20","OUT017",NA
"FDV44","OUT027",NA
"FDG02","OUT049",NA
"FDA09","OUT013",NA
"FDT04","OUT013",NA
"FDL58","OUT019",NA
"FDE52","OUT045",NA
"FDW12","OUT035",NA
"FDL51","OUT017",NA
"NCY42","OUT027",NA
"FDR07","OUT017",NA
"FDN40","OUT045",NA
"FDB35","OUT027",NA
"FDA22","OUT017",NA
"NCL06","OUT046",NA
"FDI35","OUT013",NA
"NCW42","OUT045",NA
"NCX06","OUT049",NA
"FDC37","OUT027",NA
"FDZ14","OUT018",NA
"DRG49","OUT049",NA
"NCG06","OUT045",NA
"DRC36","OUT045",NA
"FDV21","OUT019",NA
"FDB53","OUT046",NA
"DRP47","OUT019",NA
"FDA14","OUT013",NA
"DRC24","OUT035",NA
"FDW21","OUT018",NA
"NCH29","OUT046",NA
"FDU58","OUT013",NA
"FDY27","OUT017",NA
"FDV56","OUT035",NA
"FDT59","OUT046",NA
"FDB23","OUT046",NA
"FDR49","OUT045",NA
"FDB03","OUT010",NA
"FDN39","OUT045",NA
"FDX02","OUT027",NA
"FDQ16","OUT027",NA
"FDU35","OUT018",NA
"NCT29","OUT013",NA
"FDZ27","OUT046",NA
"FDN57","OUT017",NA
"FDA03","OUT018",NA
"FDZ36","OUT045",NA
"NCU05","OUT013",NA
"FDT39","OUT018",NA
"FDK60","OUT017",NA
"FDZ25","OUT017",NA
"FDG12","OUT046",NA
"DRB01","OUT019",NA
"NCC43","OUT027",NA
"FDX13","OUT019",NA
"FDM22","OUT049",NA
"FDJ03","OUT027",NA
"FDU14","OUT018",NA
"FDB33","OUT010",NA
"FDP27","OUT046",NA
"FDO38","OUT010",NA
"FDE28","OUT027",NA
"FDO27","OUT035",NA
"DRL23","OUT027",NA
"FDS28","OUT046",NA
"FDX24","OUT013",NA
"FDZ02","OUT035",NA
"FDL46","OUT045",NA
"FDS60","OUT027",NA
"NCO06","OUT017",NA
"FDO16","OUT035",NA
"FDC60","OUT049",NA
"FDA48","OUT018",NA
"FDZ36","OUT027",NA
"FDK27","OUT045",NA
"FDW23","OUT018",NA
"FDM14","OUT018",NA
"FDM14","OUT013",NA
"FDW60","OUT018",NA
"FDE21","OUT013",NA
"NCM42","OUT035",NA
"FDY59","OUT010",NA
"DRI49","OUT049",NA
"FDT28","OUT019",NA
"FDQ22","OUT018",NA
"FDR60","OUT049",NA
"FDC50","OUT019",NA
"FDV24","OUT013",NA
"DRF48","OUT010",NA
"FDQ47","OUT046",NA
"DRN36","OUT049",NA
"NCY06","OUT035",NA
"FDE52","OUT035",NA
"NCB54","OUT045",NA
"NCF31","OUT035",NA
"FDJ08","OUT027",NA
"NCC07","OUT017",NA
"NCD19","OUT027",NA
"FDL46","OUT049",NA
"FDM20","OUT045",NA
"NCI06","OUT010",NA
"DRM11","OUT035",NA
"NCH07","OUT018",NA
"FDS23","OUT013",NA
"FDO49","OUT018",NA
"FDS35","OUT049",NA
"DRK39","OUT045",NA
"DRI39","OUT049",NA
"FDV04","OUT017",NA
"NCN14","OUT035",NA
"FDH08","OUT013",NA
"FDS20","OUT046",NA
"FDV40","OUT049",NA
"FDZ48","OUT010",NA
"FDS24","OUT027",NA
"FDK44","OUT049",NA
"FDS48","OUT045",NA
"FDK26","OUT010",NA
"FDD23","OUT045",NA
"NCH54","OUT017",NA
"NCP14","OUT010",NA
"FDM60","OUT010",NA
"FDV24","OUT017",NA
"FDH08","OUT018",NA
"FDS12","OUT027",NA
"FDR39","OUT027",NA
"FDP12","OUT027",NA
"DRF60","OUT027",NA
"FDC09","OUT035",NA
"FDF50","OUT018",NA
"FDG28","OUT035",NA
"NCE19","OUT017",NA
"NCM53","OUT010",NA
"NCN18","OUT049",NA
"FDF32","OUT035",NA
"FDF11","OUT013",NA
"DRI59","OUT049",NA
"NCG54","OUT035",NA
"FDM44","OUT046",NA
"FDT57","OUT018",NA
"FDV24","OUT046",NA
"FDI50","OUT019",NA
"FDS09","OUT035",NA
"NCC31","OUT027",NA
"FDQ07","OUT019",NA
"FDC22","OUT017",NA
"FDZ56","OUT046",NA
"FDZ40","OUT019",NA
"FDS46","OUT027",NA
"DRD24","OUT045",NA
"FDV45","OUT017",NA
"FDL26","OUT045",NA
"FDA56","OUT018",NA
"FDN27","OUT046",NA
"FDM20","OUT049",NA
"FDO16","OUT017",NA
"FDL03","OUT035",NA
"FDE58","OUT046",NA
"FDI02","OUT027",NA
"NCC55","OUT019",NA
"FDR03","OUT018",NA
"FDB14","OUT017",NA
"FDR45","OUT013",NA
"NCN07","OUT017",NA
"FDM51","OUT019",NA
"FDT52","OUT027",NA
"FDL26","OUT046",NA
"NCZ42","OUT046",NA
"DRI47","OUT019",NA
"FDW40","OUT013",NA
"FDN34","OUT046",NA
"FDS01","OUT035",NA
"NCG55","OUT045",NA
"FDC11","OUT035",NA
"FDX35","OUT018",NA
"NCB06","OUT046",NA
"FDR09","OUT019",NA
"FDC53","OUT017",NA
"FDY45","OUT013",NA
"FDA22","OUT010",NA
"FDE02","OUT035",NA
"FDW21","OUT045",NA
"FDV34","OUT046",NA
"FDS59","OUT049",NA
"NCW17","OUT017",NA
"NCK54","OUT046",NA
"FDG17","OUT019",NA
"FDG35","OUT017",NA
"FDD08","OUT010",NA
"NCO07","OUT017",NA
"FDJ10","OUT010",NA
"FDW36","OUT017",NA
"FDW21","OUT010",NA
"FDY19","OUT017",NA
"DRE03","OUT013",NA
"NCC55","OUT049",NA
"FDH52","OUT010",NA
"FDO09","OUT017",NA
"FDU43","OUT045",NA
"FDX09","OUT010",NA
"FDH40","OUT019",NA
"FDW58","OUT017",NA
"FDC47","OUT017",NA
"NCR41","OUT035",NA
"DRG49","OUT035",NA
"FDC52","OUT027",NA
"FDY13","OUT046",NA
"FDY35","OUT013",NA
"FDI35","OUT017",NA
"NCU18","OUT049",NA
"FDY33","OUT018",NA
"FDC15","OUT027",NA
"FDU01","OUT049",NA
"NCU42","OUT046",NA
"NCV29","OUT018",NA
"NCY30","OUT017",NA
"FDQ46","OUT049",NA
"FDG58","OUT027",NA
"FDK33","OUT017",NA
"NCD07","OUT045",NA
"NCX29","OUT027",NA
"NCT42","OUT013",NA
"DRN59","OUT035",NA
"FDI44","OUT035",NA
"FDA45","OUT049",NA
"FDP31","OUT045",NA
"FDY01","OUT046",NA
"FDT09","OUT018",NA
"DRH03","OUT027",NA
"FDA36","OUT018",NA
"NCF31","OUT017",NA
"FDG14","OUT049",NA
"FDG28","OUT027",NA
"FDU14","OUT049",NA
"FDY47","OUT019",NA
"FDI56","OUT049",NA
"DRD01","OUT013",NA
"FDM22","OUT046",NA
"FDH33","OUT013",NA
"DRZ24","OUT013",NA
"NCQ38","OUT046",NA
"FDO16","OUT027",NA
"FDU07","OUT027",NA
"NCB07","OUT013",NA
"FDU48","OUT045",NA
"NCM43","OUT045",NA
"FDR31","OUT010",NA
